@relation enhanced_fraud_detection

@attribute quantidade_denuncias numeric
@attribute tempo_entre_denuncias numeric
@attribute frequencia_denuncias numeric
@attribute quantidade_recebimentos numeric
@attribute valor_total_recebido numeric
@attribute tempo_desde_criacao numeric
@attribute horario_predominante numeric
@attribute variabilidade_horario numeric
@attribute quantidade_dispositivos numeric
@attribute dispositivos_suspeitos numeric
@attribute ips_diferentes numeric
@attribute cidades_diferentes numeric
@attribute transacoes_madrugada numeric
@attribute transacoes_fins_semana numeric
@attribute valor_medio_transacao numeric
@attribute desvio_padrao_valores numeric
@attribute frequencia_semanal numeric
@attribute percentual_cancelamentos numeric
@attribute tentativas_falhas numeric
@attribute tempo_medio_entre_transacoes numeric
@attribute score_historico_cliente numeric
@attribute idade_conta_dias numeric
@attribute saldo_medio_conta numeric
@attribute limite_credito numeric
@attribute score_bureau_credito numeric
@attribute renda_declarada numeric
@attribute nivel_educacao {FUNDAMENTAL,MEDIO,SUPERIOR,POS_GRADUACAO}
@attribute profissao {AUTONOMO,FUNCIONARIO_PUBLICO,EMPRESARIO,APOSENTADO,ESTUDANTE,DESEMPREGADO}
@attribute estado_civil {SOLTEIRO,CASADO,DIVORCIADO,VIUVO}
@attribute tem_dependentes {true,false}
@attribute possui_cartao_credito {true,false}
@attribute possui_conta_poupanca {true,false}
@attribute historico_inadimplencia {true,false}
@attribute contaSuspeita {true,false}

@data
10,12,1.2,180,220000,35,13,5,3,1,5,2,10,8,1222.22,480.2,28,0.10,4,3.8,42,35,70000,40000,420,80000,MEDIO,EMPRESARIO,CASADO,true,true,false,false,false
4,30,0.2,80,90000,90,15,2,2,0,2,1,3,2,1125.00,280.4,15,0.04,1,6.2,65,90,45000,25000,520,55000,MEDIO,APOSENTADO,VIUVO,false,false,true,false,false
7,20,0.5,140,150000,50,17,3,3,1,3,2,6,4,1071.43,380.6,22,0.06,2,4.8,52,50,60000,32000,460,70000,SUPERIOR,FUNCIONARIO_PUBLICO,CASADO,true,true,true,false,false

% Casos de Baixo Risco (Score 71-100)
2,60,0.05,60,45000,180,9,1,1,0,1,1,1,0,750.00,150.2,8,0.02,0,8.5,85,180,35000,20000,650,45000,SUPERIOR,FUNCIONARIO_PUBLICO,CASADO,true,true,true,false,false
1,90,0.02,40,25000,365,10,1,1,0,1,0,0,0,625.00,120.5,5,0.01,0,12.0,92,365,30000,15000,720,40000,MEDIO,APOSENTADO,CASADO,true,false,true,false,false
3,45,0.1,80,65000,120,11,2,2,0,2,1,2,1,812.50,200.3,12,0.03,1,7.2,78,120,40000,22000,580,50000,SUPERIOR,FUNCIONARIO_PUBLICO,SOLTEIRO,false,true,true,false,false
0,0,0.0,50,35000,200,12,1,1,0,1,0,0,0,700.00,100.8,7,0.00,0,10.5,88,200,32000,18000,680,42000,MEDIO,FUNCIONARIO_PUBLICO,CASADO,true,true,true,false,false
2,75,0.04,70,50000,150,13,1,1,0,1,1,1,0,714.29,180.4,10,0.02,0,9.2,82,150,38000,20000,620,48000,SUPERIOR,EMPRESARIO,CASADO,true,true,false,false,false

% Casos Adicionais para Balanceamento
5,22,0.3,110,95000,80,14,3,2,0,3,1,4,2,863.64,250.6,18,0.04,1,5.8,68,80,50000,28000,500,60000,MEDIO,FUNCIONARIO_PUBLICO,CASADO,true,true,true,false,false
9,18,0.7,160,180000,42,15,4,3,1,4,2,8,6,1125.00,420.8,26,0.08,3,4.5,48,42,68000,38000,440,78000,SUPERIOR,EMPRESARIO,SOLTEIRO,false,true,false,false,false
1,120,0.01,35,20000,400,16,1,1,0,1,0,0,0,571.43,80.2,4,0.00,0,15.0,95,400,28000,12000,750,35000,MEDIO,APOSENTADO,VIUVO,false,false,true,false,false
6,28,0.3,125,110000,65,17,3,2,0,3,1,5,3,880.00,300.4,20,0.05,2,6.2,62,65,55000,30000,480,65000,SUPERIOR,FUNCIONARIO_PUBLICO,CASADO,true,true,true,false,false
4,35,0.2,95,75000,85,18,2,2,0,2,1,3,2,789.47,220.6,14,0.03,1,7.8,72,85,42000,24000,540,52000,MEDIO,FUNCIONARIO_PUBLICO,SOLTEIRO,false,true,true,false,false

% Casos Extremos para Teste
30,1,15.0,800,2000000,5,0,15,10,8,20,10,50,45,2500.00,1200.5,100,0.40,20,1.2,8,5,200000,150000,180,200000,POS_GRADUACAO,AUTONOMO,SOLTEIRO,false,true,true,true,true
0,0,0.0,25,15000,500,8,1,1,0,1,0,0,0,600.00,50.3,3,0.00,0,20.0,98,500,25000,10000,800,30000,SUPERIOR,APOSENTADO,CASADO,true,false,true,false,false 
